toldWhatToDo,engagerMovingWorker,workerDecidingHowWorkIsDone,whenWorkHasToBeDone,workerDecideWhere,CarryOverValue,Exit,CarryOverFactName
No,No,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
No,No,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
No,No,workingSetInstructions,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
No,No,workingSetInstructions,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
No,No,workingSetInstructions,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,workingSetInstructions,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,workingSetInstructions,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,workingSetInstructions,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
No,No,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
No,No,workerCanGetInstructed,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
No,No,workerCanGetInstructed,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
No,No,workerCanGetInstructed,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,workerCanGetInstructed,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,workerCanGetInstructed,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,workerCanGetInstructed,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
No,No,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
No,No,workerDecidesToClientSatisfaction,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
No,No,workerDecidesToClientSatisfaction,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
No,No,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
No,No,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
No,No,WorkerFullyDecides,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
No,No,WorkerFullyDecides,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
No,No,WorkerFullyDecides,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,WorkerFullyDecides,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,WorkerFullyDecides,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,No,WorkerFullyDecides,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,Yes,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,HIGH,FALSE,
No,Yes,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,HIGH,FALSE,
No,Yes,workingSetInstructions,workingPatternAgreed,cannotFixWorkerLocation,HIGH,FALSE,
No,Yes,workingSetInstructions,workingPatternAgreed,couldFixWorkerLocation,HIGH,FALSE,
No,Yes,workingSetInstructions,noDefinedWorkingPattern,cannotFixWorkerLocation,HIGH,FALSE,workPatternImpact
No,Yes,workingSetInstructions,noDefinedWorkingPattern,couldFixWorkerLocation,HIGH,FALSE,workPatternImpact
No,Yes,workingSetInstructions,workinPatternAgreedDeadlines,cannotFixWorkerLocation,HIGH,FALSE,workPatternImpact
No,Yes,workingSetInstructions,workinPatternAgreedDeadlines,couldFixWorkerLocation,HIGH,FALSE,workPatternImpact
No,Yes,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,HIGH,FALSE,
No,Yes,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,HIGH,FALSE,
No,Yes,workerCanGetInstructed,workingPatternAgreed,cannotFixWorkerLocation,HIGH,FALSE,
No,Yes,workerCanGetInstructed,workingPatternAgreed,couldFixWorkerLocation,HIGH,FALSE,
No,Yes,workerCanGetInstructed,noDefinedWorkingPattern,cannotFixWorkerLocation,HIGH,FALSE,workPatternImpact
No,Yes,workerCanGetInstructed,noDefinedWorkingPattern,couldFixWorkerLocation,HIGH,FALSE,workPatternImpact
No,Yes,workerCanGetInstructed,workinPatternAgreedDeadlines,cannotFixWorkerLocation,HIGH,FALSE,workPatternImpact
No,Yes,workerCanGetInstructed,workinPatternAgreedDeadlines,couldFixWorkerLocation,HIGH,FALSE,workPatternImpact
No,Yes,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
No,Yes,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
No,Yes,workerDecidesToClientSatisfaction,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
No,Yes,workerDecidesToClientSatisfaction,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
No,Yes,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,Yes,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,Yes,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,Yes,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,Yes,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
No,Yes,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
No,Yes,WorkerFullyDecides,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
No,Yes,WorkerFullyDecides,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
No,Yes,WorkerFullyDecides,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,Yes,WorkerFullyDecides,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,Yes,WorkerFullyDecides,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
No,Yes,WorkerFullyDecides,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,No,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,No,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,No,workingSetInstructions,workingPatternAgreed,cannotFixWorkerLocation,OutOfIR35,TRUE,
Yes,No,workingSetInstructions,workingPatternAgreed,couldFixWorkerLocation,OutOfIR35,TRUE,
Yes,No,workingSetInstructions,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,No,workingSetInstructions,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,No,workingSetInstructions,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,No,workingSetInstructions,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,No,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,No,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,No,workerCanGetInstructed,workingPatternAgreed,cannotFixWorkerLocation,OutOfIR35,TRUE,
Yes,No,workerCanGetInstructed,workingPatternAgreed,couldFixWorkerLocation,OutOfIR35,TRUE,
Yes,No,workerCanGetInstructed,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,No,workerCanGetInstructed,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,No,workerCanGetInstructed,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,No,workerCanGetInstructed,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,No,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,No,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,No,workerDecidesToClientSatisfaction,workingPatternAgreed,cannotFixWorkerLocation,OutOfIR35,TRUE,
Yes,No,workerDecidesToClientSatisfaction,workingPatternAgreed,couldFixWorkerLocation,OutOfIR35,TRUE,
Yes,No,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,No,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,No,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,cannotFixWorkerLocation,OutOfIR35,TRUE,
Yes,No,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,couldFixWorkerLocation,OutOfIR35,TRUE,
Yes,No,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,No,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,No,WorkerFullyDecides,workingPatternAgreed,cannotFixWorkerLocation,OutOfIR35,TRUE,
Yes,No,WorkerFullyDecides,workingPatternAgreed,couldFixWorkerLocation,OutOfIR35,TRUE,
Yes,No,WorkerFullyDecides,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,No,WorkerFullyDecides,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,No,WorkerFullyDecides,workinPatternAgreedDeadlines,cannotFixWorkerLocation,OutOfIR35,TRUE,
Yes,No,WorkerFullyDecides,workinPatternAgreedDeadlines,couldFixWorkerLocation,OutOfIR35,TRUE,
Yes,Yes,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workingSetInstructions,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workingSetInstructions,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workingSetInstructions,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workingSetInstructions,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workingSetInstructions,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workingSetInstructions,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerCanGetInstructed,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerCanGetInstructed,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerCanGetInstructed,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerCanGetInstructed,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerCanGetInstructed,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerCanGetInstructed,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerDecidesToClientSatisfaction,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerDecidesToClientSatisfaction,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,WorkerFullyDecides,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,WorkerFullyDecides,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Yes,Yes,WorkerFullyDecides,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,WorkerFullyDecides,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,WorkerFullyDecides,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Yes,Yes,WorkerFullyDecides,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workingSetInstructions,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workingSetInstructions,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workingSetInstructions,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workingSetInstructions,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workingSetInstructions,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workingSetInstructions,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerCanGetInstructed,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerCanGetInstructed,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerCanGetInstructed,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerCanGetInstructed,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerCanGetInstructed,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerCanGetInstructed,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerDecidesToClientSatisfaction,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerDecidesToClientSatisfaction,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerDecidesToClientSatisfaction,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerDecidesToClientSatisfaction,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,workerDecidesToClientSatisfaction,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,WorkerFullyDecides,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,WorkerFullyDecides,workingPatternAgreed,cannotFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,WorkerFullyDecides,workingPatternAgreed,couldFixWorkerLocation,MEDIUM,FALSE,
Sometimes,No,WorkerFullyDecides,noDefinedWorkingPattern,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,WorkerFullyDecides,noDefinedWorkingPattern,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,WorkerFullyDecides,workinPatternAgreedDeadlines,cannotFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,No,WorkerFullyDecides,workinPatternAgreedDeadlines,couldFixWorkerLocation,MEDIUM,FALSE,workPatternImpact
Sometimes,Yes,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workingSetInstructions,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workingSetInstructions,workingPatternAgreed,cannotFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workingSetInstructions,workingPatternAgreed,couldFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workingSetInstructions,noDefinedWorkingPattern,cannotFixWorkerLocation,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workingSetInstructions,noDefinedWorkingPattern,couldFixWorkerLocation,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workingSetInstructions,workinPatternAgreedDeadlines,cannotFixWorkerLocation,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workingSetInstructions,workinPatternAgreedDeadlines,couldFixWorkerLocation,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,cannotFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workerCanGetInstructed,workinPatternRegularHoursToAgreedDeadlines,couldFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workerCanGetInstructed,workingPatternAgreed,cannotFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workerCanGetInstructed,workingPatternAgreed,couldFixWorkerLocation,HIGH,FALSE,
Sometimes,Yes,workerCanGetInstructed,noDefinedWorkingPattern,cannotFixWorkerLocation,HIGH,FALSE,workPatternImpact
Sometimes,Yes,workerCanGetInstructed,noDefinedWorkingPattern,couldFixWorkerLocation,HIGH,FALSE,workPatternImpact
