workPatternImpact,financialRisk,provideVehicle,engagerPayVehicleExpense,workerIncurExpense,engagerPayOtherExpense,workerMainIncome,workerSufferedLatePayment,workerProvideAtTheirExpense,workerFixAtTheirOwnTime,workerPayForMaterialsSubstandardWorker,paidForSubstandardWork,actualEngagerWithholdPayment,CarryOverValue,Exit,CarryOverFactName
,HIGH,,,,,,,,,,,,OutOfIR35,TRUE,,,,,,,
,,YES,NO,,,,,YES,YES,,,,OutOfIR35,TRUE,,,,,,,
,,YES,NO,,,,,YES,,YES,,,OutOfIR35,TRUE,
,,YES,NO,,,,,,,,YES,YES,OutOfIR35,TRUE,
,,YES,NO,YES,NO,,,,,,,,OutOfIR35,TRUE,
,,,,,,incomeCommission,,YES,YES,,,,OutOfIR35,TRUE,
,,,,,,incomeCommission,,YES,,YES,,,OutOfIR35,TRUE,
,,,,YES,NO,incomeCommission,,,,,,,OutOfIR35,TRUE,
,,,,,,incomeCommission,,,,,YES,YES,OutOfIR35,TRUE,
workPatternImpact,,,,,,incomeFixed,,,,,,,OutOfIR35,TRUE,
,,,,,,incomeProfitOrLosses,,YES,YES,,,,OutOfIR35,TRUE,
,,,,,,incomeProfitOrLosses,,YES,,YES,,,OutOfIR35,TRUE,
,,,,,,incomeProfitOrLosses,,,,,YES,YES,OutOfIR35,TRUE,
,,,,YES,NO,incomeProfitOrLosses,,,,,,,OutOfIR35,TRUE,
workPatternImpact,,,,,,incomeRateByInvoice,YES,YES,YES,,,,OutOfIR35,TRUE,
workPatternImpact,,,,,,incomeRateByInvoice,YES,YES,,YES,,,OutOfIR35,TRUE,
workPatternImpact,,,,,,incomeRateByInvoice,YES,,,,YES,YES,OutOfIR35,TRUE,
workPatternImpact,,,,YES,NO,incomeRateByInvoice,YES,,,,,,OutOfIR35,TRUE,
,,,,YES,NO,,,YES,YES,,YES,YES,OutOfIR35,TRUE,
,,,,YES,NO,,,YES,,YES,YES,YES,OutOfIR35,TRUE,
,,NO,,NO,,incomeCalendarPeriods,,NO,,,NO,,LOW,FALSE,
,,NO,,NO,,incomeCalendarPeriods,,YES,NO,NO,NO,,LOW,FALSE,
,,NO,,NO,,incomePieceRate,,NO,,,NO,,LOW,FALSE,
,,NO,,NO,,incomePieceRate,,YES,NO,NO,NO,,LOW,FALSE,
,,NO,,NO,,incomeRateByInvoice,NO,NO,,,NO,,LOW,FALSE,
,,NO,,NO,,incomeRateByInvoice,NO,YES,NO,NO,NO,,LOW,FALSE,
,,NO,,YES,YES,incomeCalendarPeriods,,NO,,,NO,,LOW,FALSE,
,,NO,,YES,YES,incomeCalendarPeriods,,YES,NO,NO,NO,,LOW,FALSE,
,,NO,,YES,YES,incomePieceRate,,NO,,,NO,,LOW,FALSE,
,,NO,,YES,YES,incomePieceRate,,YES,NO,NO,NO,,LOW,FALSE,
,,NO,,YES,YES,incomeRateByInvoice,NO,NO,,,NO,,LOW,FALSE,
,,NO,,YES,YES,incomeRateByInvoice,NO,YES,NO,NO,NO,,LOW,FALSE,
,,YES,YES,NO,,incomeCalendarPeriods,,NO,,,NO,,LOW,FALSE,
,,YES,YES,NO,,incomeCalendarPeriods,,YES,NO,NO,NO,,LOW,FALSE,
,,YES,YES,NO,,incomePieceRate,,NO,,,NO,,LOW,FALSE,
,,YES,YES,NO,,incomePieceRate,,YES,NO,NO,NO,,LOW,FALSE,
,,YES,YES,NO,,incomeRateByInvoice,NO,NO,,,NO,,LOW,FALSE,
,,YES,YES,NO,,incomeRateByInvoice,NO,YES,NO,NO,NO,,LOW,FALSE,
,,YES,YES,YES,YES,incomeCalendarPeriods,,NO,,,NO,,LOW,FALSE,
,,YES,YES,YES,YES,incomeCalendarPeriods,,YES,NO,NO,NO,,LOW,FALSE,
,,YES,YES,YES,YES,incomePieceRate,,NO,,,NO,,LOW,FALSE,
,,YES,YES,YES,YES,incomePieceRate,,YES,NO,NO,NO,,LOW,FALSE,
,,YES,YES,YES,YES,incomeRateByInvoice,NO,NO,,,NO,,LOW,FALSE,
,,YES,YES,YES,YES,incomeRateByInvoice,NO,YES,NO,NO,NO,,LOW,FALSE,